variavel,gain,gain_relativo
orgao_julgador_Setor de Distribuição Criminal de Campos,657.11,0.0031
orgao_julgador_4ª Vara Federal de Campos,656.72,0.0031
orgao_julgador_1ª Vara Federal de Niterói,652.62,0.0031
classe_processual_Outras classes,650.0,0.0031
orgao_julgador_31ª Vara Federal,644.03,0.003
orgao_julgador_Vara Federal de Linhares,629.75,0.003
orgao_julgador_Diretoria de Nova Friburgo,623.84,0.0029
orgao_julgador_4ª Vara Federal de Niterói,616.44,0.0029
orgao_julgador_4ª Turma Recursal - Juiz Relator 3 - RJ,613.86,0.0029
orgao_julgador_6ª Vara Federal do Rio de Janeiro,612.94,0.0029
orgao_julgador_Vara Federal de Teresópolis,609.25,0.0029
orgao_julgador_GABINETE 08,606.1,0.0029
classe_processual_Agravo de Instrumento,602.03,0.0028
orgao_julgador_28ª Vara Federal do Rio de Janeiro,589.41,0.0028
orgao_julgador_19ª Vara Federal do Rio de Janeiro,588.76,0.0028
orgao_julgador_32ª Vara Federal do Rio de Janeiro,588.16,0.0028
classe_processual_Procedimento do Juizado Especial Cível,585.44,0.0028
orgao_julgador_24ª Vara Federal do Rio de Janeiro,584.41,0.0028
orgao_julgador_Vara Federal de Colatina,583.83,0.0028
orgao_julgador_Coordenadoria das Turmas Recursais,581.42,0.0027
orgao_julgador_Diretoria de Três Rios,580.01,0.0027
orgao_julgador_13ª Vara Federal,572.14,0.0027
orgao_julgador_23ª Vara Federal do Rio de Janeiro,568.91,0.0027
ano_ajuizamento_2021,567.95,0.0027
"orgao_julgador_Seção Contadoria, Distr. Cert de CI",567.81,0.0027
orgao_julgador_5ª Vara Federal de Volta Redonda,563.93,0.0027
orgao_julgador_4ª Vara Federal de Vitória,557.7,0.0026
orgao_julgador_5ª Vara Federal de Duque de Caxias,549.41,0.0026
orgao_julgador_5ª Turma Recursal - Juiz Relator 1 - RJ,548.32,0.0026
orgao_julgador_2ª Vara Federal de Itaboraí,543.9,0.0026
orgao_julgador_8ª Turma Recursal - Juiz Relator 2 - RJ,543.24,0.0026
orgao_julgador_34ª Vara Federal do Rio de Janeiro,530.73,0.0025
orgao_julgador_12ª Vara Federal do Rio de Janeiro,525.98,0.0025
orgao_julgador_2ª Vara Federal de Petrópolis,523.6,0.0025
orgao_julgador_Diretoria de Resende,517.6,0.0024
orgao_julgador_Diretoria de Macaé,516.35,0.0024
orgao_julgador_6ª Turma Recursal - Juiz Relator 1 - RJ,515.03,0.0024
orgao_julgador_GABINETE 12,511.32,0.0024
orgao_julgador_11º Juizado Especial Federal,505.35,0.0024
orgao_julgador_Juizado Especial Federal de Resende,503.91,0.0024
orgao_julgador_2ª Vara Federal de Nova Friburgo,500.73,0.0024
orgao_julgador_11ª Vara Federal do Rio de Janeiro,496.5,0.0023
"orgao_julgador_Seção Contadoria, Distr. Cert. Colatina",492.21,0.0023
orgao_julgador_2ª Vara Federal de Vitória,491.32,0.0023
orgao_julgador_GABINETE 22,482.06,0.0023
orgao_julgador_35ª Vara Federal do Rio de Janeiro,481.58,0.0023
orgao_julgador_1ª Turma Recursal do Rio de Janeiro,479.6,0.0023
orgao_julgador_Diretoria de Magé,478.3,0.0023
orgao_julgador_5ª Turma Recursal - Juiz Relator 2 - RJ,474.75,0.0022
orgao_julgador_2ª Vara Federal de Nova Iguaçu,463.42,0.0022
orgao_julgador_GABINETE 34 - JFC,459.67,0.0022
orgao_julgador_3ª Vara Federal Criminal do Rio de Janeiro,458.28,0.0022
orgao_julgador_2ª Vara Federal de Campos,456.62,0.0022
orgao_julgador_21ª Vara Federal do Rio de Janeiro,455.97,0.0022
orgao_julgador_10ª Vara Federal do Rio de Janeiro,451.63,0.0021
orgao_julgador_22ª Vara Federal do Rio de Janeiro,451.28,0.0021
orgao_julgador_2ª Turma Recursal - Juiz Relator 3 - RJ,448.81,0.0021
orgao_julgador_Vara Federal de Nova Friburgo,443.4,0.0021
orgao_julgador_4ª Vara Federal de São João de Meriti,442.54,0.0021
orgao_julgador_5ª Vara Federal de Vitória,438.06,0.0021
orgao_julgador_Diretoria de Duque de Caxias,435.98,0.0021
orgao_julgador_Diretoria de São Pedro da Aldeia,432.6,0.002
ano_ajuizamento_2023,425.36,0.002
orgao_julgador_Diretoria de Niterói,424.25,0.002
orgao_julgador_6ª Vara Federal Criminal do Rio de Janeiro,423.47,0.002
orgao_julgador_Diretoria de Barra do Piraí,422.71,0.002
orgao_julgador_GABINETE 09,412.45,0.0019
orgao_julgador_6 º Núcleo de Justiça 4.0 - SJRJ - Previdenciário,404.17,0.0019
orgao_julgador_45ª Vara Federal do Rio de Janeiro,400.09,0.0019
orgao_julgador_Presidência das Turmas Recursais,397.25,0.0019
classe_processual_Mandado de Segurança Cível,392.06,0.0019
orgao_julgador_1ª Vara Federal Criminal do Rio de Janeiro,391.62,0.0018
orgao_julgador_GABINETE 26,390.97,0.0018
"orgao_julgador_Seção Contadoria, Distr. Cert. Linhares",389.81,0.0018
orgao_julgador_2º Juizado Especial Federal de São Gonçalo,389.33,0.0018
orgao_julgador_Vara Federal de São Mateus,383.98,0.0018
orgao_julgador_4º Juizado Especial de Vitória,379.11,0.0018
orgao_julgador_GABINETE 25,377.18,0.0018
orgao_julgador_1ª Turma Recursal - Juiz Relator 2 - ES,358.37,0.0017
orgao_julgador_1ª Vara Federal de Nova Iguaçu,355.24,0.0017
orgao_julgador_Diretoria de Teresópolis,352.07,0.0017
orgao_julgador_6ª Vara Federal de Vitória,351.57,0.0017
orgao_julgador_2ª Vara Federal de São Gonçalo,350.61,0.0017
orgao_julgador_Diretoria de Nova Iguaçu,347.79,0.0016
orgao_julgador_8ª Vara Federal Criminal do Rio de Janeiro,346.27,0.0016
orgao_julgador_4 º Núcleo de Justiça 4.0 - SJRJ - Previdenciário,345.39,0.0016
orgao_julgador_Central de Perícias - SJES,342.55,0.0016
orgao_julgador_2ª Turma Recursal - Juiz Relator 2 - ES,340.81,0.0016
orgao_julgador_4ª Vara Federal de Duque de Caxias,337.92,0.0016
orgao_julgador_3º Juizado Especial Federal de Vitória,336.08,0.0016
orgao_julgador_Diretoria de São Gonçalo,334.98,0.0016
orgao_julgador_5ª Vara Federal de São João de Meriti,331.54,0.0016
orgao_julgador_2ª Turma Recursal do Rio de Janeiro,328.22,0.0015
orgao_julgador_GABINETE PRESIDÊNCIA - TRU,327.99,0.0015
orgao_julgador_30ª Vara Federal do Rio de Janeiro,323.11,0.0015
orgao_julgador_GABINETE 36 - JFC,316.07,0.0015
orgao_julgador_6ª Turma Recursal - Juiz Relator 2 - RJ,313.14,0.0015
orgao_julgador_Gabinete da Presidência,310.96,0.0015
ano_ajuizamento_2020,306.11,0.0014
orgao_julgador_GABINETE 02,301.27,0.0014
orgao_julgador_Diretoria de Angra dos Reis,296.9,0.0014
orgao_julgador_2ª Vara Federal de Volta Redonda,295.45,0.0014
orgao_julgador_2ª Vara Federal de Cachoeiro do Itapemirim,284.35,0.0013
orgao_julgador_1ª Turma Recursal - Juiz Relator 3 - ES,279.05,0.0013
orgao_julgador_GABINETE 07,274.68,0.0013
orgao_julgador_3ª Vara Federal de Niterói,254.95,0.0012
orgao_julgador_7ª Turma Recursal - Juiz Relator 3 - RJ,253.98,0.0012
orgao_julgador_GABINETE 33 - JFC,250.59,0.0012
orgao_julgador_5ª Vara Federal de Niterói,239.51,0.0011
orgao_julgador_2ª Vara Federal de São Pedro da Aldeia,239.31,0.0011
orgao_julgador_8ª Vara de Execução Fiscal do Rio de Janeiro,238.08,0.0011
orgao_julgador_27ª Vara Federal do Rio de Janeiro,231.77,0.0011
orgao_julgador_16ª Vara Federal do Rio de Janeiro,221.66,0.001
orgao_julgador_1ª Vara Federal de Serra,213.02,0.001
orgao_julgador_2ª Vara Federal de Niterói,211.73,0.001
orgao_julgador_GABINETE 20,210.36,0.001
orgao_julgador_6ª Turma Recursal - Juiz Relator 3 - RJ,203.98,0.001
orgao_julgador_GABINETE 32,200.86,0.0009
orgao_julgador_2ª Vara Federal de Duque de Caxias,198.59,0.0009
orgao_julgador_25ª Vara Federal,182.33,0.0009
ano_ajuizamento_2019,181.9,0.0009
orgao_julgador_10ª Vara de Execução Fiscal do Rio de Janeiro,178.11,0.0008
orgao_julgador_1ª Vara de Execução Fiscal de São João de Meriti,177.48,0.0008
orgao_julgador_Vara Federal de Barra do Piraí,171.03,0.0008
orgao_julgador_2ª Vara de Execução Fiscal de Vitória,159.6,0.0008
orgao_julgador_4ª Vara de Execução Fiscal de Vitória,158.95,0.0008
orgao_julgador_1ª Vara Federal de Vitória,146.8,0.0007
orgao_julgador_Vara Federal de Itaperuna,142.06,0.0007
orgao_julgador_3ª Vara de Execução Fiscal do Rio de Janeiro,141.18,0.0007
orgao_julgador_1ª Vara de Execução Fiscal de São Gonçalo,133.78,0.0006
orgao_julgador_GABINETE 19,132.7,0.0006
orgao_julgador_4ª Vara Federal do Rio de Janeiro,116.46,0.0005
orgao_julgador_2ª Vara de Execução Fiscal do Rio de Janeiro,94.99,0.0004
orgao_julgador_GABINETE 05,88.51,0.0004
orgao_julgador_3ª Vara de Execução Fiscal de Vitória,80.82,0.0004
orgao_julgador_2ª Vara de Execução Fiscal de São João de Meriti,78.36,0.0004
classe_processual_Apelação Cível,77.94,0.0004
orgao_julgador_3º Juizado Especial Federal de São Gonçalo,74.56,0.0004
orgao_julgador_4ª Vara de Execução Fiscal do Rio de Janeiro,67.38,0.0003
orgao_julgador_GABINETE 01,59.5,0.0003
orgao_julgador_1ª Vara Federal de Petrópolis,56.07,0.0003
orgao_julgador_4ª Vara Federal Criminal do Rio de Janeiro,42.64,0.0002
orgao_julgador_GABINETE 13,38.91,0.0002
orgao_julgador_14º Juizado Especial Federal do Rio de Janeiro,35.66,0.0002
orgao_julgador_10ª Vara Federal Criminal do Rio de Janeiro,31.72,0.0001
orgao_julgador_7ª Vara de Execução Fiscal do Rio de Janeiro,30.88,0.0001
orgao_julgador_2ª Vara Federal Criminal de Vitória,28.71,0.0001
orgao_julgador_1ª Vara de Execução Fiscal do Rio de Janeiro,26.33,0.0001
classe_processual_Apelação / Remessa Necessária,23.04,0.0001
orgao_julgador_GABINETE 24,22.69,0.0001
orgao_julgador_GABINETE 10,19.56,0.0001
orgao_julgador_GABINETE 04,18.88,0.0001
orgao_julgador_GABINETE 03,14.95,0.0001
classe_processual_Embargos à Execução,13.16,0.0001
orgao_julgador_12ª Vara de Execução Fiscal do Rio de Janeiro,7.74,0.0
orgao_julgador_Central de Perícias - Duque de Caxias,0.0,0.0
orgao_julgador_Central de Perícias - Nova Iguaçu,0.0,0.0
orgao_julgador_Central de Perícias - Niterói,0.0,0.0
orgao_julgador_Central de Perícias - Magé,0.0,0.0
orgao_julgador_Central de Perícias - São Gonçalo,0.0,0.0
orgao_julgador_Central de Perícias - SJRJ,0.0,0.0
orgao_julgador_Central de Perícias - Resende,0.0,0.0
orgao_julgador_Central de Perícias - Petrópolis,0.0,0.0
orgao_julgador_Central de Perícias - Nova Friburgo,0.0,0.0
orgao_julgador_CEJUSC Ambiental - Centro Judiciário Ambiental ,0.0,0.0
orgao_julgador_9ª Vara de Execução Fiscal do Rio de janeiro,0.0,0.0
orgao_julgador_9ª Vara Federal Criminal do Rio de Janeiro,0.0,0.0
orgao_julgador_7ª Turma Recursal - Juiz Relator 1 - RJ,0.0,0.0
orgao_julgador_7ª Vara Federal Criminal do Rio de Janeiro,0.0,0.0
orgao_julgador_29ª Vara Federal do Rio de Janeiro,0.0,0.0
orgao_julgador_2ª Turma Recursal - Juiz Relator 3 - ES,0.0,0.0
orgao_julgador_5ª Vara Federal Criminal do Rio de Janeiro,0.0,0.0
orgao_julgador_5 º Núcleo de Justiça 4.0 - SJRJ - Previdenciário,0.0,0.0
orgao_julgador_5ª Vara Federal do Rio de Janeiro,0.0,0.0
orgao_julgador_5ª Vara de Execução Fiscal do Rio de Janeiro,0.0,0.0
orgao_julgador_13º Juizado Especial Federal do Rio de Janeiro,0.0,0.0
orgao_julgador_1ª Turma Recursal - Juiz Relator 1 - ES,0.0,0.0
orgao_julgador_17ª Vara Federal do Rio de Janeiro,0.0,0.0
orgao_julgador_33ª Vara Federal do Rio de Janeiro,0.0,0.0
orgao_julgador_18ª Vara Federal do Rio de Janeiro,0.0,0.0
orgao_julgador_6ª Vara de Execução Fiscal do Rio de Janeiro,0.0,0.0
"orgao_julgador_Seção Contadoria, Distr. Cert. Serra",0.0,0.0
orgao_julgador_Vara Federal de Três Rios,0.0,0.0
orgao_julgador_1 º Núcleo de Justiça 4.0 - SJRJ - Previdenciário,0.0,0.0
orgao_julgador_Central de Perícias - Macaé,0.0,0.0
orgao_julgador_Central de Perícias - Itaperuna,0.0,0.0
orgao_julgador_Central de Perícias - Itaboraí,0.0,0.0
orgao_julgador_Central de Perícias - Barra do Piraí,0.0,0.0
orgao_julgador_Central de Perícias - Campos,0.0,0.0
orgao_julgador_Central de Perícias - Angra dos Reis,0.0,0.0
orgao_julgador_CORREGEDORIA,0.0,0.0
orgao_julgador_7ª Vara Federal do Rio de Janeiro,0.0,0.0
orgao_julgador_COORDENADORIA DOS JUIZADOS ESPECIAIS FEDERAIS,0.0,0.0
orgao_julgador_CESOL - Baixada Fluminense,0.0,0.0
orgao_julgador_CENTRO SOLUÇÃO CONFLITOS E CIDADANIA - SÃO GONÇALO,0.0,0.0
