classe_processual,orgao_julgador,ano_ajuizamento,n
Carta Precatória Cível,Setor de Distribuição do Rio de Janeiro (Rio Branco),2022,1764
Carta Precatória Cível,Setor de Distribuição do Rio de Janeiro (Rio Branco),2023,1625
Carta Precatória Cível,Setor de Distribuição do Rio de Janeiro (Rio Branco),2024,2311
Carta Precatória Cível,Setor de Distribuição do Rio de Janeiro (Rio Branco),2025,5191
Carta Precatória Cível,"Seção Contadoria, Distr. Cert de CI",2018,2
Carta Precatória Cível,"Seção Contadoria, Distr. Cert de CI",2019,27
Carta Precatória Cível,"Seção Contadoria, Distr. Cert de CI",2020,37
Carta Precatória Cível,"Seção Contadoria, Distr. Cert de CI",2021,36
Carta Precatória Cível,"Seção Contadoria, Distr. Cert de CI",2022,45
Carta Precatória Cível,"Seção Contadoria, Distr. Cert de CI",2023,35
Carta Precatória Cível,"Seção Contadoria, Distr. Cert de CI",2024,38
Carta Precatória Cível,"Seção Contadoria, Distr. Cert de CI",2025,24
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Colatina",2019,7
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Colatina",2020,11
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Colatina",2021,8
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Colatina",2022,16
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Colatina",2023,9
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Colatina",2024,7
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Colatina",2025,14
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Linhares",2018,1
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Linhares",2019,16
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Linhares",2020,17
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Linhares",2021,10
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Linhares",2022,13
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Linhares",2023,26
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Linhares",2024,12
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Linhares",2025,18
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. S. Mateus",2018,1
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. S. Mateus",2019,21
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. S. Mateus",2020,18
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. S. Mateus",2021,11
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. S. Mateus",2022,20
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. S. Mateus",2023,18
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. S. Mateus",2024,21
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. S. Mateus",2025,32
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Serra",2018,5
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Serra",2019,41
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Serra",2020,16
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Serra",2021,17
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Serra",2022,24
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Serra",2023,45
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Serra",2024,25
Carta Precatória Cível,"Seção Contadoria, Distr. Cert. Serra",2025,21
Carta Precatória Cível,"Seção de Distr., Atend. e Apoio Adm.",2018,45
Carta Precatória Cível,"Seção de Distr., Atend. e Apoio Adm.",2019,329
Carta Precatória Cível,"Seção de Distr., Atend. e Apoio Adm.",2020,214
Carta Precatória Cível,"Seção de Distr., Atend. e Apoio Adm.",2021,232
Carta Precatória Cível,"Seção de Distr., Atend. e Apoio Adm.",2022,222
Carta Precatória Cível,"Seção de Distr., Atend. e Apoio Adm.",2023,248
Carta Precatória Cível,"Seção de Distr., Atend. e Apoio Adm.",2024,201
Carta Precatória Cível,"Seção de Distr., Atend. e Apoio Adm.",2025,178
Carta Precatória Cível,Subsecretaria de Distribuição de Atividades Judiciárias,2019,85
Carta Precatória Cível,Subsecretaria de Distribuição de Atividades Judiciárias,2020,532
Carta Precatória Cível,Subsecretaria de Distribuição de Atividades Judiciárias,2021,4
Carta Precatória Cível,Subsecretaria de Distribuição de Atividades Judiciárias,2022,3
Carta Precatória Cível,Subsecretaria de Distribuição de Atividades Judiciárias,2023,42
Carta Precatória Cível,Subsecretaria de Distribuição de Atividades Judiciárias,2024,3
Carta Precatória Cível,Vara Federal de Angra dos Reis,2017,3
Carta Precatória Cível,Vara Federal de Angra dos Reis,2018,3
Carta Precatória Cível,Vara Federal de Angra dos Reis,2019,18
Carta Precatória Cível,Vara Federal de Angra dos Reis,2020,1
Carta Precatória Cível,Vara Federal de Angra dos Reis,2021,2
Carta Precatória Cível,Vara Federal de Angra dos Reis,2022,3
Carta Precatória Cível,Vara Federal de Angra dos Reis,2023,4
Carta Precatória Cível,Vara Federal de Angra dos Reis,2024,2
Carta Precatória Cível,Vara Federal de Angra dos Reis,2025,9
Carta Precatória Cível,Vara Federal de Barra do Piraí,2015,1
Carta Precatória Cível,Vara Federal de Barra do Piraí,2018,3
Carta Precatória Cível,Vara Federal de Barra do Piraí,2019,10
Carta Precatória Cível,Vara Federal de Barra do Piraí,2020,5
Carta Precatória Cível,Vara Federal de Barra do Piraí,2021,6
Carta Precatória Cível,Vara Federal de Barra do Piraí,2022,5
Carta Precatória Cível,Vara Federal de Barra do Piraí,2023,5
Carta Precatória Cível,Vara Federal de Barra do Piraí,2024,4
Carta Precatória Cível,Vara Federal de Barra do Piraí,2025,4
Carta Precatória Cível,Vara Federal de Colatina,2018,5
Carta Precatória Cível,Vara Federal de Colatina,2019,15
Carta Precatória Cível,Vara Federal de Colatina,2020,7
Carta Precatória Cível,Vara Federal de Colatina,2021,13
Carta Precatória Cível,Vara Federal de Colatina,2022,1
Carta Precatória Cível,Vara Federal de Colatina,2023,7
Carta Precatória Cível,Vara Federal de Colatina,2024,9
Carta Precatória Cível,Vara Federal de Colatina,2025,4
Carta Precatória Cível,Vara Federal de Itaperuna,2015,1
Carta Precatória Cível,Vara Federal de Itaperuna,2018,2
Carta Precatória Cível,Vara Federal de Itaperuna,2019,23
Carta Precatória Cível,Vara Federal de Itaperuna,2020,24
Carta Precatória Cível,Vara Federal de Itaperuna,2021,9
Carta Precatória Cível,Vara Federal de Itaperuna,2022,42
Carta Precatória Cível,Vara Federal de Itaperuna,2023,36
Carta Precatória Cível,Vara Federal de Itaperuna,2024,3
Carta Precatória Cível,Vara Federal de Itaperuna,2025,3
Carta Precatória Cível,Vara Federal de Linhares,2017,1
Carta Precatória Cível,Vara Federal de Linhares,2018,4
Carta Precatória Cível,Vara Federal de Linhares,2019,12
Carta Precatória Cível,Vara Federal de Linhares,2020,3
Carta Precatória Cível,Vara Federal de Linhares,2021,5
Carta Precatória Cível,Vara Federal de Linhares,2022,2
Carta Precatória Cível,Vara Federal de Linhares,2023,7
Carta Precatória Cível,Vara Federal de Linhares,2024,3
Carta Precatória Cível,Vara Federal de Linhares,2025,9
Carta Precatória Cível,Vara Federal de Macaé,2016,2
Carta Precatória Cível,Vara Federal de Macaé,2017,8
Carta Precatória Cível,Vara Federal de Macaé,2018,14
Carta Precatória Cível,Vara Federal de Macaé,2019,9
Carta Precatória Cível,Vara Federal de Macaé,2020,4
Carta Precatória Cível,Vara Federal de Macaé,2021,11
Carta Precatória Cível,Vara Federal de Macaé,2022,18
Carta Precatória Cível,Vara Federal de Macaé,2023,8
Carta Precatória Cível,Vara Federal de Macaé,2024,17
Carta Precatória Cível,Vara Federal de Macaé,2025,13
Carta Precatória Cível,Vara Federal de Magé,2018,7
Carta Precatória Cível,Vara Federal de Magé,2019,9
Carta Precatória Cível,Vara Federal de Magé,2020,6
Carta Precatória Cível,Vara Federal de Magé,2021,6
Carta Precatória Cível,Vara Federal de Magé,2022,1
Carta Precatória Cível,Vara Federal de Magé,2023,3
Carta Precatória Cível,Vara Federal de Magé,2024,2
Carta Precatória Cível,Vara Federal de Magé,2025,2
Carta Precatória Cível,Vara Federal de Nova Friburgo,2017,1
Carta Precatória Cível,Vara Federal de Nova Friburgo,2018,10
Carta Precatória Cível,Vara Federal de Nova Friburgo,2019,26
Carta Precatória Cível,Vara Federal de Nova Friburgo,2020,3
Carta Precatória Cível,Vara Federal de Nova Friburgo,2022,4
Carta Precatória Cível,Vara Federal de Nova Friburgo,2023,5
Carta Precatória Cível,Vara Federal de Nova Friburgo,2024,2
Carta Precatória Cível,Vara Federal de Nova Friburgo,2025,2
Carta Precatória Cível,Vara Federal de Resende,2016,1
Carta Precatória Cível,Vara Federal de Resende,2017,5
Carta Precatória Cível,Vara Federal de Resende,2018,4
Carta Precatória Cível,Vara Federal de Resende,2019,29
Carta Precatória Cível,Vara Federal de Resende,2020,11
Carta Precatória Cível,Vara Federal de Resende,2021,5
Carta Precatória Cível,Vara Federal de Resende,2022,11
Carta Precatória Cível,Vara Federal de Resende,2023,3
Carta Precatória Cível,Vara Federal de Resende,2024,9
Carta Precatória Cível,Vara Federal de Resende,2025,9
Carta Precatória Cível,Vara Federal de São Mateus,2017,2
Carta Precatória Cível,Vara Federal de São Mateus,2018,3
Carta Precatória Cível,Vara Federal de São Mateus,2019,6
Carta Precatória Cível,Vara Federal de São Mateus,2020,1
Carta Precatória Cível,Vara Federal de São Mateus,2021,3
Carta Precatória Cível,Vara Federal de São Mateus,2023,5
Carta Precatória Cível,Vara Federal de São Mateus,2024,4
Carta Precatória Cível,Vara Federal de São Mateus,2025,3
Carta Precatória Cível,Vara Federal de Teresópolis,2015,1
Carta Precatória Cível,Vara Federal de Teresópolis,2017,4
Carta Precatória Cível,Vara Federal de Teresópolis,2018,1
Carta Precatória Cível,Vara Federal de Teresópolis,2019,13
Carta Precatória Cível,Vara Federal de Teresópolis,2020,5
Carta Precatória Cível,Vara Federal de Teresópolis,2021,12
Carta Precatória Cível,Vara Federal de Teresópolis,2022,4
Carta Precatória Cível,Vara Federal de Teresópolis,2023,9
Carta Precatória Cível,Vara Federal de Teresópolis,2024,5
Carta Precatória Cível,Vara Federal de Teresópolis,2025,1
Carta Precatória Cível,Vara Federal de Três Rios,2017,1
Carta Precatória Cível,Vara Federal de Três Rios,2018,2
Carta Precatória Cível,Vara Federal de Três Rios,2019,4
Carta Precatória Cível,Vara Federal de Três Rios,2020,2
Carta Precatória Cível,Vara Federal de Três Rios,2021,5
Carta Precatória Cível,Vara Federal de Três Rios,2022,5
Carta Precatória Cível,Vara Federal de Três Rios,2023,4
Carta Precatória Cível,Vara Federal de Três Rios,2024,3
Carta Precatória Cível,Vara Federal de Três Rios,2025,4
Cumprimento de Sentença contra a Fazenda Pública,1 º Núcleo de Justiça 4.0 - SJRJ - Previdenciário,2017,1
Cumprimento de Sentença contra a Fazenda Pública,1 º Núcleo de Justiça 4.0 - SJRJ - Previdenciário,2020,1
Cumprimento de Sentença contra a Fazenda Pública,1 º Núcleo de Justiça 4.0 - SJRJ - Previdenciário,2022,142
Cumprimento de Sentença contra a Fazenda Pública,1 º Núcleo de Justiça 4.0 - SJRJ - Previdenciário,2023,446
Cumprimento de Sentença contra a Fazenda Pública,1 º Núcleo de Justiça 4.0 - SJRJ - Previdenciário,2024,619
Cumprimento de Sentença contra a Fazenda Pública,1 º Núcleo de Justiça 4.0 - SJRJ - Previdenciário,2025,668
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara Federal do Rio de Janeiro,2015,50
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara Federal do Rio de Janeiro,2016,108
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara Federal do Rio de Janeiro,2017,73
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara Federal do Rio de Janeiro,2018,107
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara Federal do Rio de Janeiro,2019,167
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara Federal do Rio de Janeiro,2020,98
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara Federal do Rio de Janeiro,2021,122
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara Federal do Rio de Janeiro,2022,119
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara Federal do Rio de Janeiro,2023,134
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara Federal do Rio de Janeiro,2024,140
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara Federal do Rio de Janeiro,2025,169
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara de Execução Fiscal do Rio de Janeiro,2016,1
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara de Execução Fiscal do Rio de Janeiro,2018,2
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara de Execução Fiscal do Rio de Janeiro,2019,1
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara de Execução Fiscal do Rio de Janeiro,2020,1
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara de Execução Fiscal do Rio de Janeiro,2021,5
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara de Execução Fiscal do Rio de Janeiro,2022,3
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara de Execução Fiscal do Rio de Janeiro,2023,2
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara de Execução Fiscal do Rio de Janeiro,2024,202
Cumprimento de Sentença contra a Fazenda Pública,10ª Vara de Execução Fiscal do Rio de Janeiro,2025,614
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara Federal do Rio de Janeiro,2015,50
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara Federal do Rio de Janeiro,2016,71
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara Federal do Rio de Janeiro,2017,43
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara Federal do Rio de Janeiro,2018,67
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara Federal do Rio de Janeiro,2019,86
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara Federal do Rio de Janeiro,2020,57
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara Federal do Rio de Janeiro,2021,73
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara Federal do Rio de Janeiro,2022,76
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara Federal do Rio de Janeiro,2023,60
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara Federal do Rio de Janeiro,2024,83
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara Federal do Rio de Janeiro,2025,101
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara de Execução Fiscal do Rio de Janeiro,2015,1
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara de Execução Fiscal do Rio de Janeiro,2016,3
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara de Execução Fiscal do Rio de Janeiro,2017,5
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara de Execução Fiscal do Rio de Janeiro,2018,1
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara de Execução Fiscal do Rio de Janeiro,2019,1
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara de Execução Fiscal do Rio de Janeiro,2020,2
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara de Execução Fiscal do Rio de Janeiro,2022,6
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara de Execução Fiscal do Rio de Janeiro,2023,8
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara de Execução Fiscal do Rio de Janeiro,2024,155
Cumprimento de Sentença contra a Fazenda Pública,11ª Vara de Execução Fiscal do Rio de Janeiro,2025,536
Cumprimento de Sentença contra a Fazenda Pública,11º Juizado Especial Federal,2015,16
Cumprimento de Sentença contra a Fazenda Pública,11º Juizado Especial Federal,2016,21
Cumprimento de Sentença contra a Fazenda Pública,11º Juizado Especial Federal,2017,64
Cumprimento de Sentença contra a Fazenda Pública,11º Juizado Especial Federal,2018,273
Cumprimento de Sentença contra a Fazenda Pública,11º Juizado Especial Federal,2019,894
Cumprimento de Sentença contra a Fazenda Pública,11º Juizado Especial Federal,2020,1349
Cumprimento de Sentença contra a Fazenda Pública,11º Juizado Especial Federal,2021,2045
Cumprimento de Sentença contra a Fazenda Pública,11º Juizado Especial Federal,2022,1988
Cumprimento de Sentença contra a Fazenda Pública,11º Juizado Especial Federal,2023,1679
Cumprimento de Sentença contra a Fazenda Pública,11º Juizado Especial Federal,2024,1038
Cumprimento de Sentença contra a Fazenda Pública,11º Juizado Especial Federal,2025,565
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara Federal do Rio de Janeiro,2015,152
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara Federal do Rio de Janeiro,2016,156
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara Federal do Rio de Janeiro,2017,154
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara Federal do Rio de Janeiro,2018,148
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara Federal do Rio de Janeiro,2019,381
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara Federal do Rio de Janeiro,2020,187
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara Federal do Rio de Janeiro,2021,128
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara Federal do Rio de Janeiro,2022,70
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara Federal do Rio de Janeiro,2023,47
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara Federal do Rio de Janeiro,2024,29
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara Federal do Rio de Janeiro,2025,29
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara de Execução Fiscal do Rio de Janeiro,2017,1
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara de Execução Fiscal do Rio de Janeiro,2021,1
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara de Execução Fiscal do Rio de Janeiro,2022,4
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara de Execução Fiscal do Rio de Janeiro,2023,6
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara de Execução Fiscal do Rio de Janeiro,2024,226
Cumprimento de Sentença contra a Fazenda Pública,12ª Vara de Execução Fiscal do Rio de Janeiro,2025,534
Cumprimento de Sentença contra a Fazenda Pública,12º Juizado Especial Federal do Rio de Janeiro,2015,6
Cumprimento de Sentença contra a Fazenda Pública,12º Juizado Especial Federal do Rio de Janeiro,2016,6
Cumprimento de Sentença contra a Fazenda Pública,12º Juizado Especial Federal do Rio de Janeiro,2017,49
Cumprimento de Sentença contra a Fazenda Pública,12º Juizado Especial Federal do Rio de Janeiro,2018,165
Cumprimento de Sentença contra a Fazenda Pública,12º Juizado Especial Federal do Rio de Janeiro,2019,483
Cumprimento de Sentença contra a Fazenda Pública,12º Juizado Especial Federal do Rio de Janeiro,2020,707
Cumprimento de Sentença contra a Fazenda Pública,12º Juizado Especial Federal do Rio de Janeiro,2021,946
Cumprimento de Sentença contra a Fazenda Pública,12º Juizado Especial Federal do Rio de Janeiro,2022,908
Cumprimento de Sentença contra a Fazenda Pública,12º Juizado Especial Federal do Rio de Janeiro,2023,939
Cumprimento de Sentença contra a Fazenda Pública,12º Juizado Especial Federal do Rio de Janeiro,2024,903
Cumprimento de Sentença contra a Fazenda Pública,12º Juizado Especial Federal do Rio de Janeiro,2025,667
Cumprimento de Sentença contra a Fazenda Pública,13ª Vara Federal,2015,95
Cumprimento de Sentença contra a Fazenda Pública,13ª Vara Federal,2016,99
Cumprimento de Sentença contra a Fazenda Pública,13ª Vara Federal,2017,167
Cumprimento de Sentença contra a Fazenda Pública,13ª Vara Federal,2018,350
Cumprimento de Sentença contra a Fazenda Pública,13ª Vara Federal,2019,752
Cumprimento de Sentença contra a Fazenda Pública,13ª Vara Federal,2020,578
Cumprimento de Sentença contra a Fazenda Pública,13ª Vara Federal,2021,536
Cumprimento de Sentença contra a Fazenda Pública,13ª Vara Federal,2022,450
Cumprimento de Sentença contra a Fazenda Pública,13ª Vara Federal,2023,396
Cumprimento de Sentença contra a Fazenda Pública,13ª Vara Federal,2024,584
Cumprimento de Sentença contra a Fazenda Pública,13ª Vara Federal,2025,1032
Cumprimento de Sentença contra a Fazenda Pública,13º Juizado Especial Federal do Rio de Janeiro,2023,7
Cumprimento de Sentença contra a Fazenda Pública,13º Juizado Especial Federal do Rio de Janeiro,2024,3
Cumprimento de Sentença contra a Fazenda Pública,13º Juizado Especial Federal do Rio de Janeiro,2025,52
Cumprimento de Sentença contra a Fazenda Pública,14ª Vara Federal do Rio de Janeiro,2015,60
Cumprimento de Sentença contra a Fazenda Pública,14ª Vara Federal do Rio de Janeiro,2016,106
Cumprimento de Sentença contra a Fazenda Pública,14ª Vara Federal do Rio de Janeiro,2017,61
Cumprimento de Sentença contra a Fazenda Pública,14ª Vara Federal do Rio de Janeiro,2018,87
Cumprimento de Sentença contra a Fazenda Pública,14ª Vara Federal do Rio de Janeiro,2019,81
Cumprimento de Sentença contra a Fazenda Pública,14ª Vara Federal do Rio de Janeiro,2020,56
Cumprimento de Sentença contra a Fazenda Pública,14ª Vara Federal do Rio de Janeiro,2021,72
Cumprimento de Sentença contra a Fazenda Pública,14ª Vara Federal do Rio de Janeiro,2022,56
Cumprimento de Sentença contra a Fazenda Pública,14ª Vara Federal do Rio de Janeiro,2023,55
Cumprimento de Sentença contra a Fazenda Pública,14ª Vara Federal do Rio de Janeiro,2024,116
Cumprimento de Sentença contra a Fazenda Pública,14ª Vara Federal do Rio de Janeiro,2025,104
Cumprimento de Sentença contra a Fazenda Pública,14º Juizado Especial Federal do Rio de Janeiro,2015,12
Cumprimento de Sentença contra a Fazenda Pública,14º Juizado Especial Federal do Rio de Janeiro,2016,26
Cumprimento de Sentença contra a Fazenda Pública,14º Juizado Especial Federal do Rio de Janeiro,2017,49
Cumprimento de Sentença contra a Fazenda Pública,14º Juizado Especial Federal do Rio de Janeiro,2018,107
Cumprimento de Sentença contra a Fazenda Pública,14º Juizado Especial Federal do Rio de Janeiro,2019,298
Cumprimento de Sentença contra a Fazenda Pública,14º Juizado Especial Federal do Rio de Janeiro,2020,516
Cumprimento de Sentença contra a Fazenda Pública,14º Juizado Especial Federal do Rio de Janeiro,2021,927
Cumprimento de Sentença contra a Fazenda Pública,14º Juizado Especial Federal do Rio de Janeiro,2022,798
Cumprimento de Sentença contra a Fazenda Pública,14º Juizado Especial Federal do Rio de Janeiro,2023,815
Cumprimento de Sentença contra a Fazenda Pública,14º Juizado Especial Federal do Rio de Janeiro,2024,798
Cumprimento de Sentença contra a Fazenda Pública,14º Juizado Especial Federal do Rio de Janeiro,2025,655
Cumprimento de Sentença contra a Fazenda Pública,15ª Vara Federal do Rio de Janeiro,2015,95
Cumprimento de Sentença contra a Fazenda Pública,15ª Vara Federal do Rio de Janeiro,2016,77
Cumprimento de Sentença contra a Fazenda Pública,15ª Vara Federal do Rio de Janeiro,2017,35
Cumprimento de Sentença contra a Fazenda Pública,15ª Vara Federal do Rio de Janeiro,2018,38
Cumprimento de Sentença contra a Fazenda Pública,15ª Vara Federal do Rio de Janeiro,2019,37
Cumprimento de Sentença contra a Fazenda Pública,15ª Vara Federal do Rio de Janeiro,2020,11
Cumprimento de Sentença contra a Fazenda Pública,15ª Vara Federal do Rio de Janeiro,2021,9
Cumprimento de Sentença contra a Fazenda Pública,15ª Vara Federal do Rio de Janeiro,2022,17
Cumprimento de Sentença contra a Fazenda Pública,15ª Vara Federal do Rio de Janeiro,2023,73
Cumprimento de Sentença contra a Fazenda Pública,15ª Vara Federal do Rio de Janeiro,2024,205
Cumprimento de Sentença contra a Fazenda Pública,15ª Vara Federal do Rio de Janeiro,2025,183
Cumprimento de Sentença contra a Fazenda Pública,15º Juizado Especial Federal do Rio de Janeiro,2020,2
Cumprimento de Sentença contra a Fazenda Pública,15º Juizado Especial Federal do Rio de Janeiro,2023,1
Cumprimento de Sentença contra a Fazenda Pública,15º Juizado Especial Federal do Rio de Janeiro,2024,1
Cumprimento de Sentença contra a Fazenda Pública,15º Juizado Especial Federal do Rio de Janeiro,2025,68
Cumprimento de Sentença contra a Fazenda Pública,16ª Vara Federal do Rio de Janeiro,2015,64
Cumprimento de Sentença contra a Fazenda Pública,16ª Vara Federal do Rio de Janeiro,2016,85
Cumprimento de Sentença contra a Fazenda Pública,16ª Vara Federal do Rio de Janeiro,2017,69
Cumprimento de Sentença contra a Fazenda Pública,16ª Vara Federal do Rio de Janeiro,2018,83
Cumprimento de Sentença contra a Fazenda Pública,16ª Vara Federal do Rio de Janeiro,2019,110
Cumprimento de Sentença contra a Fazenda Pública,16ª Vara Federal do Rio de Janeiro,2020,80
Cumprimento de Sentença contra a Fazenda Pública,16ª Vara Federal do Rio de Janeiro,2021,93
Cumprimento de Sentença contra a Fazenda Pública,16ª Vara Federal do Rio de Janeiro,2022,97
Cumprimento de Sentença contra a Fazenda Pública,16ª Vara Federal do Rio de Janeiro,2023,90
Cumprimento de Sentença contra a Fazenda Pública,16ª Vara Federal do Rio de Janeiro,2024,136
Cumprimento de Sentença contra a Fazenda Pública,16ª Vara Federal do Rio de Janeiro,2025,56
Cumprimento de Sentença contra a Fazenda Pública,17ª Vara Federal do Rio de Janeiro,2015,48
Cumprimento de Sentença contra a Fazenda Pública,17ª Vara Federal do Rio de Janeiro,2016,91
Cumprimento de Sentença contra a Fazenda Pública,17ª Vara Federal do Rio de Janeiro,2017,48
Cumprimento de Sentença contra a Fazenda Pública,17ª Vara Federal do Rio de Janeiro,2018,83
Cumprimento de Sentença contra a Fazenda Pública,17ª Vara Federal do Rio de Janeiro,2019,76
Cumprimento de Sentença contra a Fazenda Pública,17ª Vara Federal do Rio de Janeiro,2020,35
Cumprimento de Sentença contra a Fazenda Pública,17ª Vara Federal do Rio de Janeiro,2021,69
Cumprimento de Sentença contra a Fazenda Pública,17ª Vara Federal do Rio de Janeiro,2022,62
Cumprimento de Sentença contra a Fazenda Pública,17ª Vara Federal do Rio de Janeiro,2023,49
Cumprimento de Sentença contra a Fazenda Pública,17ª Vara Federal do Rio de Janeiro,2024,86
Cumprimento de Sentença contra a Fazenda Pública,17ª Vara Federal do Rio de Janeiro,2025,45
Cumprimento de Sentença contra a Fazenda Pública,18ª Vara Federal do Rio de Janeiro,2015,17
Cumprimento de Sentença contra a Fazenda Pública,18ª Vara Federal do Rio de Janeiro,2016,53
Cumprimento de Sentença contra a Fazenda Pública,18ª Vara Federal do Rio de Janeiro,2017,18
Cumprimento de Sentença contra a Fazenda Pública,18ª Vara Federal do Rio de Janeiro,2018,50
Cumprimento de Sentença contra a Fazenda Pública,18ª Vara Federal do Rio de Janeiro,2019,49
Cumprimento de Sentença contra a Fazenda Pública,18ª Vara Federal do Rio de Janeiro,2020,20
Cumprimento de Sentença contra a Fazenda Pública,18ª Vara Federal do Rio de Janeiro,2021,30
Cumprimento de Sentença contra a Fazenda Pública,18ª Vara Federal do Rio de Janeiro,2022,52
Cumprimento de Sentença contra a Fazenda Pública,18ª Vara Federal do Rio de Janeiro,2023,56
Cumprimento de Sentença contra a Fazenda Pública,18ª Vara Federal do Rio de Janeiro,2024,67
Cumprimento de Sentença contra a Fazenda Pública,18ª Vara Federal do Rio de Janeiro,2025,84
Cumprimento de Sentença contra a Fazenda Pública,19ª Vara Federal do Rio de Janeiro,2015,67
Cumprimento de Sentença contra a Fazenda Pública,19ª Vara Federal do Rio de Janeiro,2016,95
Cumprimento de Sentença contra a Fazenda Pública,19ª Vara Federal do Rio de Janeiro,2017,46
Cumprimento de Sentença contra a Fazenda Pública,19ª Vara Federal do Rio de Janeiro,2018,101
Cumprimento de Sentença contra a Fazenda Pública,19ª Vara Federal do Rio de Janeiro,2019,122
Cumprimento de Sentença contra a Fazenda Pública,19ª Vara Federal do Rio de Janeiro,2020,65
