classe_processual,orgao_julgador,ano_ajuizamento,n
Agravo de Instrumento,GABINETE 10,2022,368
Agravo de Instrumento,GABINETE 10,2023,509
Agravo de Instrumento,GABINETE 10,2024,477
Agravo de Instrumento,GABINETE 10,2025,481
Agravo de Instrumento,GABINETE 11,2015,32
Agravo de Instrumento,GABINETE 11,2016,72
Agravo de Instrumento,GABINETE 11,2017,205
Agravo de Instrumento,GABINETE 11,2018,463
Agravo de Instrumento,GABINETE 11,2019,485
Agravo de Instrumento,GABINETE 11,2020,547
Agravo de Instrumento,GABINETE 11,2021,551
Agravo de Instrumento,GABINETE 11,2022,415
Agravo de Instrumento,GABINETE 11,2023,524
Agravo de Instrumento,GABINETE 11,2024,479
Agravo de Instrumento,GABINETE 11,2025,551
Agravo de Instrumento,GABINETE 12,2015,65
Agravo de Instrumento,GABINETE 12,2016,139
Agravo de Instrumento,GABINETE 12,2017,322
Agravo de Instrumento,GABINETE 12,2018,450
Agravo de Instrumento,GABINETE 12,2019,457
Agravo de Instrumento,GABINETE 12,2020,579
Agravo de Instrumento,GABINETE 12,2021,430
Agravo de Instrumento,GABINETE 12,2022,356
Agravo de Instrumento,GABINETE 12,2023,490
Agravo de Instrumento,GABINETE 12,2024,473
Agravo de Instrumento,GABINETE 12,2025,470
Agravo de Instrumento,GABINETE 13,2015,4
Agravo de Instrumento,GABINETE 13,2016,10
Agravo de Instrumento,GABINETE 13,2017,195
Agravo de Instrumento,GABINETE 13,2018,574
Agravo de Instrumento,GABINETE 13,2019,653
Agravo de Instrumento,GABINETE 13,2020,795
Agravo de Instrumento,GABINETE 13,2021,744
Agravo de Instrumento,GABINETE 13,2022,537
Agravo de Instrumento,GABINETE 13,2023,610
Agravo de Instrumento,GABINETE 13,2024,551
Agravo de Instrumento,GABINETE 13,2025,607
Agravo de Instrumento,GABINETE 14,2015,4
Agravo de Instrumento,GABINETE 14,2016,15
Agravo de Instrumento,GABINETE 14,2017,35
Agravo de Instrumento,GABINETE 14,2018,331
Agravo de Instrumento,GABINETE 14,2019,658
Agravo de Instrumento,GABINETE 14,2020,778
Agravo de Instrumento,GABINETE 14,2021,828
Agravo de Instrumento,GABINETE 14,2022,517
Agravo de Instrumento,GABINETE 14,2023,597
Agravo de Instrumento,GABINETE 14,2024,548
Agravo de Instrumento,GABINETE 14,2025,613
Agravo de Instrumento,GABINETE 15,2015,11
Agravo de Instrumento,GABINETE 15,2016,24
Agravo de Instrumento,GABINETE 15,2017,102
Agravo de Instrumento,GABINETE 15,2018,444
Agravo de Instrumento,GABINETE 15,2019,698
Agravo de Instrumento,GABINETE 15,2020,767
Agravo de Instrumento,GABINETE 15,2021,694
Agravo de Instrumento,GABINETE 15,2022,506
Agravo de Instrumento,GABINETE 15,2023,574
Agravo de Instrumento,GABINETE 15,2024,573
Agravo de Instrumento,GABINETE 15,2025,568
Agravo de Instrumento,GABINETE 16,2015,18
Agravo de Instrumento,GABINETE 16,2016,61
Agravo de Instrumento,GABINETE 16,2017,136
Agravo de Instrumento,GABINETE 16,2018,386
Agravo de Instrumento,GABINETE 16,2019,649
Agravo de Instrumento,GABINETE 16,2020,741
Agravo de Instrumento,GABINETE 16,2021,713
