item,valor
n_processos,3498973
n_eventos,2887464
n_censurados,611509
pct_censura,17.48
n_classes,16
n_orgaos,337
ano_min,2015
ano_max,2025
data_referencia,2026-08-21T14:03:30.453000+00:00
