ano_ajuizamento,n,n_terminados,n_censurados,pct_censura,mediana_terminados
2015,94337,80656,13681,14.5,2409.5
2016,110699,92704,17995,16.26,1954.4
2017,143086,123343,19743,13.8,1125.9
2018,238526,216740,21786,9.13,570.2
2019,354289,326870,27419,7.74,452.3
2020,331339,298900,32439,9.79,334.2
2021,491804,445338,46466,9.45,533.8
2022,377838,329033,48805,12.92,357.8
2023,488854,414328,74526,15.25,372.6
2024,411790,316786,95004,23.07,249.3
2025,456411,242766,213645,46.81,166.7
